Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
0,4,M,40,88,0
0,4,M,80,89,0
0,4,M,125,82,0
0,4,F,40,85,0
0,4,F,80,82,0
0,4,F,125,74,0
0,3,M,40,87,0
0,3,M,80,77,0
0,3,M,125,86,0
0,3,F,40,77,0
0,3,F,80,84,0
0,3,F,125,89,0
0,2,M,40,81,0
0,2,M,80,83,0
0,2,M,125,88,0
0,2,F,40,80,0
0,2,F,80,84,0
0,2,F,125,84,0
0,1,M,40,80,0
0,1,M,80,90,0
0,1,M,125,79,0
0,1,F,40,95,0
0,1,F,80,86,0
0,1,F,125,70,0
1,4,M,40,87,0
1,4,M,80,89,0
1,4,M,125,81,0
1,4,F,40,85,0
1,4,F,80,82,0
1,4,F,125,74,0
1,3,M,40,88,0
1,3,M,80,77,0
1,3,M,125,86,0
1,3,F,40,78,0
1,3,F,80,83,0
1,3,F,125,89,0
1,2,M,40,81,0
1,2,M,80,83,0
1,2,M,125,89,0
1,2,F,40,78,0
1,2,F,80,84,0
1,2,F,125,84,0
1,1,M,40,80,0
1,1,M,80,90,0
1,1,M,125,79,0
1,1,F,40,96,0
1,1,F,80,87,0
1,1,F,125,70,0
2,4,M,40,87,0
2,4,M,80,89,0
2,4,M,125,81,0
2,4,F,40,85,0
2,4,F,80,83,0
2,4,F,125,74,0
2,3,M,40,88,0
2,3,M,80,78,0
2,3,M,125,86,0
2,3,F,40,78,0
2,3,F,80,82,0
2,3,F,125,89,0
2,2,M,40,81,0
2,2,M,80,82,0
2,2,M,125,87,0
2,2,F,40,78,0
2,2,F,80,84,0
2,2,F,125,84,0
2,1,M,40,80,0
2,1,M,80,90,0
2,1,M,125,81,0
2,1,F,40,96,0
2,1,F,80,87,0
2,1,F,125,70,0
3,4,M,40,87,0
3,4,M,80,89,0
3,4,M,125,82,0
3,4,F,40,85,0
3,4,F,80,83,0
3,4,F,125,73,0
3,3,M,40,87,0
3,3,M,80,78,0
3,3,M,125,86,0
3,3,F,40,78,0
3,3,F,80,82,0
3,3,F,125,89,0
3,2,M,40,80,0
3,2,M,80,83,0
3,2,M,125,86,0
3,2,F,40,78,0
3,2,F,80,82,0
3,2,F,125,85,0
3,1,M,40,82,0
3,1,M,80,89,0
3,1,M,125,81,0
3,1,F,40,96,0
3,1,F,80,89,0
3,1,F,125,70,0
4,4,M,40,87,0
4,4,M,80,89,0
4,4,M,125,82,0
4,4,F,40,85,0
4,4,F,80,83,0
4,4,F,125,74,0
4,3,M,40,87,0
4,3,M,80,80,0
4,3,M,125,87,0
4,3,F,40,77,0
4,3,F,80,81,0
4,3,F,125,89,0
4,2,M,40,80,0
4,2,M,80,83,0
4,2,M,125,85,0
4,2,F,40,79,0
4,2,F,80,83,0
4,2,F,125,84,0
4,1,M,40,82,0
4,1,M,80,87,0
4,1,M,125,81,0
4,1,F,40,96,0
4,1,F,80,89,0
4,1,F,125,70,0
5,4,M,40,86,0
5,4,M,80,91,0
5,4,M,125,81,0
5,4,F,40,84,0
5,4,F,80,84,0
5,4,F,125,73,0
5,3,M,40,88,0
5,3,M,80,79,0
5,3,M,125,88,0
5,3,F,40,77,0
5,3,F,80,81,0
5,3,F,125,91,0
5,2,M,40,80,0
5,2,M,80,83,0
5,2,M,125,85,0
5,2,F,40,80,0
5,2,F,80,82,0
5,2,F,125,84,0
5,1,M,40,80,0
5,1,M,80,88,0
5,1,M,125,81,0
5,1,F,40,96,0
5,1,F,80,89,0
5,1,F,125,69,0
6,4,M,40,87,0
6,4,M,80,92,0
6,4,M,125,81,0
6,4,F,40,85,0
6,4,F,80,84,0
6,4,F,125,74,0
6,3,M,40,87,0
6,3,M,80,78,0
6,3,M,125,88,0
6,3,F,40,76,0
6,3,F,80,82,0
6,3,F,125,90,0
6,2,M,40,80,0
6,2,M,80,84,0
6,2,M,125,85,0
6,2,F,40,80,0
6,2,F,80,81,0
6,2,F,125,84,0
6,1,M,40,80,0
6,1,M,80,87,0
6,1,M,125,81,0
6,1,F,40,96,0
6,1,F,80,89,0
6,1,F,125,69,0
7,4,M,40,87,0
7,4,M,80,93,0
7,4,M,125,81,0
7,4,F,40,85,0
7,4,F,80,83,0
7,4,F,125,74,0
7,3,M,40,86,0
7,3,M,80,78,0
7,3,M,125,88,0
7,3,F,40,77,0
7,3,F,80,81,0
7,3,F,125,90,0
7,2,M,40,79,0
7,2,M,80,83,0
7,2,M,125,85,0
7,2,F,40,79,0
7,2,F,80,83,0
7,2,F,125,84,0
7,1,M,40,82,0
7,1,M,80,87,0
7,1,M,125,81,0
7,1,F,40,96,0
7,1,F,80,89,0
7,1,F,125,69,0
8,4,M,40,88,0
8,4,M,80,93,0
8,4,M,125,81,0
8,4,F,40,84,0
8,4,F,80,83,0
8,4,F,125,74,0
8,3,M,40,86,0
8,3,M,80,79,0
8,3,M,125,88,0
8,3,F,40,75,0
8,3,F,80,81,0
8,3,F,125,90,0
8,2,M,40,78,0
8,2,M,80,83,0
8,2,M,125,85,0
8,2,F,40,80,0
8,2,F,80,83,0
8,2,F,125,85,0
8,1,M,40,82,0
8,1,M,80,86,0
8,1,M,125,81,0
8,1,F,40,98,0
8,1,F,80,89,0
8,1,F,125,68,0
9,4,M,40,88,0
9,4,M,80,93,0
9,4,M,125,81,0
9,4,F,40,84,0
9,4,F,80,83,0
9,4,F,125,74,0
9,3,M,40,86,0
9,3,M,80,78,0
9,3,M,125,87,0
9,3,F,40,74,0
9,3,F,80,81,0
9,3,F,125,91,0
9,2,M,40,78,0
9,2,M,80,84,0
9,2,M,125,86,0
9,2,F,40,80,0
9,2,F,80,84,0
9,2,F,125,84,0
9,1,M,40,82,0
9,1,M,80,86,0
9,1,M,125,81,0
9,1,F,40,98,0
9,1,F,80,89,0
9,1,F,125,68,0
10,4,M,40,88,12
10,4,M,80,93,16
10,4,M,125,80,11
10,4,F,40,84,15
10,4,F,80,83,5
10,4,F,125,75,12
10,3,M,40,87,14
10,3,M,80,78,16
10,3,M,125,86,12
10,3,F,40,74,11
10,3,F,80,81,15
10,3,F,125,92,9
10,2,M,40,77,12
10,2,M,80,83,15
10,2,M,125,86,15
10,2,F,40,80,8
10,2,F,80,83,8
10,2,F,125,82,11
10,1,M,40,82,18
10,1,M,80,87,17
10,1,M,125,83,14
10,1,F,40,98,22
10,1,F,80,90,12
10,1,F,125,68,7
11,4,M,40,89,16
11,4,M,80,94,19
11,4,M,125,79,11
11,4,F,40,84,21
11,4,F,80,82,10
11,4,F,125,76,15
11,3,M,40,86,19
11,3,M,80,79,18
11,3,M,125,87,13
11,3,F,40,74,14
11,3,F,80,81,16
11,3,F,125,91,13
11,2,M,40,79,16
11,2,M,80,83,19
11,2,M,125,86,16
11,2,F,40,80,10
11,2,F,80,82,8
11,2,F,125,82,15
11,1,M,40,79,19
11,1,M,80,86,21
11,1,M,125,83,15
11,1,F,40,98,24
11,1,F,80,92,14
11,1,F,125,68,9
12,4,M,40,90,18
12,4,M,80,95,24
12,4,M,125,80,17
12,4,F,40,83,21
12,4,F,80,82,15
12,4,F,125,76,19
12,3,M,40,88,22
12,3,M,80,78,17
12,3,M,125,87,14
12,3,F,40,74,15
12,3,F,80,82,18
12,3,F,125,89,17
12,2,M,40,78,19
12,2,M,80,83,21
12,2,M,125,85,24
12,2,F,40,82,17
12,2,F,80,82,16
12,2,F,125,83,16
12,1,M,40,77,25
12,1,M,80,86,29
12,1,M,125,83,19
12,1,F,40,97,24
12,1,F,80,91,17
12,1,F,125,69,9
13,4,M,40,88,21
13,4,M,80,96,30
13,4,M,125,79,19
13,4,F,40,83,22
13,4,F,80,84,18
13,4,F,125,77,20
13,3,M,40,89,26
13,3,M,80,78,23
13,3,M,125,87,19
13,3,F,40,74,17
13,3,F,80,81,22
13,3,F,125,89,22
13,2,M,40,79,19
13,2,M,80,83,26
13,2,M,125,85,28
13,2,F,40,82,21
13,2,F,80,81,19
13,2,F,125,83,21
13,1,M,40,77,30
13,1,M,80,85,30
13,1,M,125,84,25
13,1,F,40,97,31
13,1,F,80,91,26
13,1,F,125,68,14
14,4,M,40,89,23
14,4,M,80,95,35
14,4,M,125,78,20
14,4,F,40,83,24
14,4,F,80,83,22
14,4,F,125,76,22
14,3,M,40,89,29
14,3,M,80,78,27
14,3,M,125,87,18
14,3,F,40,73,19
14,3,F,80,80,29
14,3,F,125,90,29
14,2,M,40,78,24
14,2,M,80,82,30
14,2,M,125,86,29
14,2,F,40,85,25
14,2,F,80,83,26
14,2,F,125,83,17
14,1,M,40,77,34
14,1,M,80,87,40
14,1,M,125,84,29
14,1,F,40,95,32
14,1,F,80,91,30
14,1,F,125,68,21
15,4,M,40,89,29
15,4,M,80,95,40
15,4,M,125,78,20
15,4,F,40,83,32
15,4,F,80,84,23
15,4,F,125,76,30
15,3,M,40,89,32
15,3,M,80,79,33
15,3,M,125,87,19
15,3,F,40,73,24
15,3,F,80,79,31
15,3,F,125,92,36
15,2,M,40,78,28
15,2,M,80,81,31
15,2,M,125,86,30
15,2,F,40,86,28
15,2,F,80,83,28
15,2,F,125,82,18
15,1,M,40,77,36
15,1,M,80,87,42
15,1,M,125,84,29
15,1,F,40,94,37
15,1,F,80,91,36
15,1,F,125,67,22
16,4,M,40,89,30
16,4,M,80,95,44
16,4,M,125,77,25
16,4,F,40,83,43
16,4,F,80,85,27
16,4,F,125,75,33
16,3,M,40,89,36
16,3,M,80,80,35
16,3,M,125,88,28
16,3,F,40,72,28
16,3,F,80,78,33
16,3,F,125,94,41
16,2,M,40,78,33
16,2,M,80,81,35
16,2,M,125,87,36
16,2,F,40,86,31
16,2,F,80,82,26
16,2,F,125,82,24
16,1,M,40,77,39
16,1,M,80,86,40
16,1,M,125,83,32
16,1,F,40,95,47
16,1,F,80,91,43
16,1,F,125,67,23
17,4,M,40,89,40
17,4,M,80,95,43
17,4,M,125,76,26
17,4,F,40,83,40
17,4,F,80,86,37
17,4,F,125,76,41
17,3,M,40,90,43
17,3,M,80,80,38
17,3,M,125,88,33
17,3,F,40,72,31
17,3,F,80,78,37
17,3,F,125,95,48
17,2,M,40,78,40
17,2,M,80,81,39
17,2,M,125,88,39
17,2,F,40,86,36
17,2,F,80,83,39
17,2,F,125,81,27
17,1,M,40,76,38
17,1,M,80,86,46
17,1,M,125,83,42
17,1,F,40,95,52
17,1,F,80,89,42
17,1,F,125,66,33
18,4,M,40,89,47
18,4,M,80,95,51
18,4,M,125,76,27
18,4,F,40,83,45
18,4,F,80,88,50
18,4,F,125,76,44
18,3,M,40,91,53
18,3,M,80,80,38
18,3,M,125,87,41
18,3,F,40,72,36
18,3,F,80,79,47
18,3,F,125,97,55
18,2,M,40,77,46
18,2,M,80,82,41
18,2,M,125,88,46
18,2,F,40,86,40
18,2,F,80,82,43
18,2,F,125,81,33
18,1,M,40,75,41
18,1,M,80,86,45
18,1,M,125,84,48
18,1,F,40,95,56
18,1,F,80,87,42
18,1,F,125,64,33
19,4,M,40,90,50
19,4,M,80,93,52
19,4,M,125,76,33
19,4,F,40,83,45
19,4,F,80,88,54
19,4,F,125,76,46
19,3,M,40,90,55
19,3,M,80,80,48
19,3,M,125,87,46
19,3,F,40,74,39
19,3,F,80,79,46
19,3,F,125,97,61
19,2,M,40,77,49
19,2,M,80,82,47
