Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_previous_num_coital_acts,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_previous_num_coital_acts,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,21,172.948,0,F,1,1,56,0,0,27.0346,0,1,1,0,0,0,1,1,0,0,0,0,36,0,1,22.962,0,1,1,0,0,0,1,1,0,0,0,0
2,35,231.919,0,F,1,1,15,0,0,20.7864,0,1,1,0,0,0,1,1,0,0,0,0,67,0,1,18.9577,0,1,1,0,0,0,1,1,0,0,0,0
3,35,1948.58,1,F,1,1,33,0,0,25.1846,0,1,0,1,0,0,1,1,0,0,0,0,25,0,1,38.4032,0,1,0,1,0,0,1,1,0,0,0,0
4,49,216.832,0,F,1,1,68,0,0,18.1634,0,1,1,0,0,0,1,1,0,0,0,0,39,0,1,28.1522,0,1,1,0,0,0,1,1,0,0,0,0
5,56,220.843,0,F,1,1,98,0,0,24.1972,0,1,1,0,0,0,1,1,0,0,0,0,74,0,1,52.0961,0,1,1,0,0,0,1,1,0,0,0,0
6,70,257.675,0,F,1,1,44,0,0,25.1333,0,1,1,0,0,0,1,1,0,0,0,0,96,0,1,27.7272,0,1,1,0,0,0,1,1,0,0,0,0
7,77,314.408,0,F,1,1,17,0,0,33.561,0,1,1,0,0,0,1,1,0,0,0,0,93,0,1,30.5371,0,1,1,0,0,0,1,1,0,0,0,0
8,77,887.711,1,F,1,1,81,0,0,31.6937,0,1,0,1,0,0,1,1,0,0,0,0,11,0,1,48.1485,0,1,0,1,0,0,1,1,0,0,0,0
9,84,101.708,0,F,1,1,52,0,0,23.4885,0,1,1,0,0,0,1,1,0,0,0,0,22,0,1,42.4378,0,1,1,0,0,0,1,1,0,0,0,0
10,91,409.271,0,F,1,1,62,0,0,23.7732,0,1,1,0,0,0,1,1,0,0,0,0,90,0,1,33.8355,0,1,1,0,0,0,1,1,0,0,0,0
11,91,1282.64,1,F,1,1,97,0,0,27.9514,0,1,0,1,0,0,1,1,0,0,0,0,88,0,1,51.2805,0,1,0,1,0,0,1,1,0,0,0,0
12,105,299.896,0,F,1,1,52,0,0,23.546,9,1,1,0,0,0,2,2,0,0,0,0,14,0,1,28.7156,0,1,1,0,0,0,1,1,0,0,0,0
13,112,475.084,0,F,1,1,85,0,0,31.248,0,1,1,0,0,0,1,1,0,0,0,0,87,0,1,45.5206,0,1,1,0,0,0,1,1,0,0,0,0
14,112,864.638,1,F,1,1,20,0,0,38.459,0,1,0,1,0,0,1,1,0,0,0,0,94,0,1,24.2186,0,1,0,1,0,0,1,1,0,0,0,0
15,147,1500.43,1,F,1,1,89,0,0,50.6839,0,1,0,1,0,0,1,1,0,0,0,0,86,0,1,37.7691,0,1,0,1,0,0,1,1,0,0,0,0
16,175,360.636,2,F,1,1,63,0,0,18.594,0,1,0,0,1,0,1,1,0,0,0,0,13,0,1,40.9794,0,1,0,0,1,0,1,1,0,0,0,0
17,182,274.101,0,F,1,1,4,0,0,31.6499,0,1,1,0,0,0,1,1,0,0,0,0,22,0,1,42.7063,9,1,1,0,0,0,2,2,0,0,0,0
18,196,295.744,0,F,1,1,28,0,0,37.4714,0,1,1,0,0,0,1,1,0,0,0,0,99,0,1,28.4108,0,1,1,0,0,0,1,1,0,0,0,0
