Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine47),Vaccinated,VaccineExpired
1960.5,1,0,0,0,162,0,0,0,4,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,156,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,139,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,132,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,138,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,127,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,123,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,132,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,102,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,123,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,97,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,98,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,89,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,103,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,77,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,73,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,82,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,87,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,81,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,72,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,78,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,66,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,29,70,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,30,71,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,32,54,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,33,55,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,34,47,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,35,59,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,37,57,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,38,44,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,40,42,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,41,33,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,42,59,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,43,46,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,44,46,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,45,38,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,46,27,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,47,28,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,49,37,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,50,22,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,51,31,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,52,47,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,53,34,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,54,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,55,27,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,56,21,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,57,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,58,26,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,59,25,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,61,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,62,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,63,21,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,64,24,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,65,20,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,66,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,68,17,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,69,14,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,70,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,71,13,0,0,0,1,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,72,5,0,0,0,2,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,73,11,0,0,0,0,0,0,0,0,0,0,0,0,0
