Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
0,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
0,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
1,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
1,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
2,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
2,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a0,0,0,0,0,0,0,0,0
3,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
3,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:X-a0,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a0,0,0,0,0,9092,0,0,0
4,340461476,X-a0:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
4,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
5,340461476,X-a0:X-a0,3989,1933,0,2056,0,0,0,0
5,340461476,X-a0:Y-a0,0,0,0,0,8243,0,0,0
5,340461476,X-a0:X-a1,0,0,0,0,0,0,0,454600
5,340461476,X-a0:Y-a1,0,0,0,0,0,0,0,454600
5,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
5,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
6,340461476,X-a0:X-a0,3616,1750,0,1866,0,0,0,0
6,340461476,X-a0:Y-a0,0,0,0,0,7437,0,0,0
6,340461476,X-a0:X-a1,0,0,0,0,0,0,27305,0
6,340461476,X-a0:Y-a1,0,0,0,0,0,0,27307,0
6,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
6,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
7,340461476,X-a0:X-a0,3285,1593,0,1692,0,0,0,0
7,340461476,X-a0:Y-a0,0,0,0,0,6693,0,0,0
7,340461476,X-a0:X-a1,0,0,0,0,0,0,24710,0
7,340461476,X-a0:Y-a1,0,0,0,0,0,0,24688,0
7,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
7,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
8,340461476,X-a0:X-a0,2596,1207,0,1389,0,0,0,0
8,340461476,X-a0:Y-a0,0,0,0,0,6038,0,0,0
8,340461476,X-a0:X-a1,0,0,0,0,0,0,22366,296500
8,340461476,X-a0:Y-a1,0,0,0,0,0,0,22393,296500
8,340461476,X-a1:X-a1,0,0,0,0,0,0,0,0
8,340461476,X-a1:Y-a1,0,0,0,0,0,0,0,0
9,340461476,X-a0:X-a0,2349,1101,0,1248,0,0,0,0
9,340461476,X-a0:Y-a0,0,0,0,0,5447,0,0,0
9,340461476,X-a0:X-a1,0,0,0,0,0,0,31316,0
