Time,NodeID,Genome,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_IMMATURE,STATE_LARVA,STATE_EGG
0,26,X-a0:X-a0,0,0,0,0,0,0,0
0,26,X-a0:X-a1,0,0,0,0,0,0,0
0,26,X-a1:X-a0,0,0,0,0,0,0,0
0,26,X-a1:X-a1,0,0,0,0,0,0,0
0,25,X-a0:X-a0,91,0,0,91,0,0,3900
0,25,X-a0:X-a1,0,0,0,0,0,0,0
0,25,X-a1:X-a0,0,0,0,0,0,0,0
0,25,X-a1:X-a1,0,0,0,0,0,0,0
0,24,X-a0:X-a0,82,0,0,82,0,0,3400
0,24,X-a0:X-a1,0,0,0,0,0,0,0
0,24,X-a1:X-a0,0,0,0,0,0,0,0
0,24,X-a1:X-a1,0,0,0,0,0,0,0
0,23,X-a0:X-a0,86,0,0,86,0,0,2800
0,23,X-a0:X-a1,0,0,0,0,0,0,0
0,23,X-a1:X-a0,0,0,0,0,0,0,0
0,23,X-a1:X-a1,0,0,0,0,0,0,0
0,22,X-a0:X-a0,86,0,0,86,0,0,2800
0,22,X-a0:X-a1,0,0,0,0,0,0,0
0,22,X-a1:X-a0,0,0,0,0,0,0,0
0,22,X-a1:X-a1,0,0,0,0,0,0,0
0,21,X-a0:X-a0,86,0,0,86,0,0,2500
0,21,X-a0:X-a1,0,0,0,0,0,0,0
0,21,X-a1:X-a0,0,0,0,0,0,0,0
0,21,X-a1:X-a1,0,0,0,0,0,0,0
0,20,X-a0:X-a0,81,0,0,81,0,0,2700
0,20,X-a0:X-a1,0,0,0,0,0,0,0
0,20,X-a1:X-a0,0,0,0,0,0,0,0
0,20,X-a1:X-a1,0,0,0,0,0,0,0
0,19,X-a0:X-a0,80,0,0,80,0,0,3100
0,19,X-a0:X-a1,0,0,0,0,0,0,0
0,19,X-a1:X-a0,0,0,0,0,0,0,0
0,19,X-a1:X-a1,0,0,0,0,0,0,0
0,18,X-a0:X-a0,86,0,0,86,0,0,3100
0,18,X-a0:X-a1,0,0,0,0,0,0,0
0,18,X-a1:X-a0,0,0,0,0,0,0,0
0,18,X-a1:X-a1,0,0,0,0,0,0,0
0,17,X-a0:X-a0,85,0,0,85,0,0,3500
0,17,X-a0:X-a1,0,0,0,0,0,0,0
0,17,X-a1:X-a0,0,0,0,0,0,0,0
0,17,X-a1:X-a1,0,0,0,0,0,0,0
0,16,X-a0:X-a0,89,0,0,89,0,0,2200
0,16,X-a0:X-a1,0,0,0,0,0,0,0
0,16,X-a1:X-a0,0,0,0,0,0,0,0
0,16,X-a1:X-a1,0,0,0,0,0,0,0
0,15,X-a0:X-a0,90,0,0,90,0,0,2800
0,15,X-a0:X-a1,0,0,0,0,0,0,0
0,15,X-a1:X-a0,0,0,0,0,0,0,0
0,15,X-a1:X-a1,0,0,0,0,0,0,0
0,14,X-a0:X-a0,93,0,0,93,0,0,2600
0,14,X-a0:X-a1,0,0,0,0,0,0,0
0,14,X-a1:X-a0,0,0,0,0,0,0,0
0,14,X-a1:X-a1,0,0,0,0,0,0,0
0,13,X-a0:X-a0,90,0,0,90,0,0,2400
0,13,X-a0:X-a1,0,0,0,0,0,0,0
0,13,X-a1:X-a0,0,0,0,0,0,0,0
0,13,X-a1:X-a1,0,0,0,0,0,0,0
0,12,X-a0:X-a0,79,0,0,79,0,0,2800
0,12,X-a0:X-a1,0,0,0,0,0,0,0
0,12,X-a1:X-a0,0,0,0,0,0,0,0
0,12,X-a1:X-a1,0,0,0,0,0,0,0
0,11,X-a0:X-a0,88,0,0,88,0,0,2500
0,11,X-a0:X-a1,0,0,0,0,0,0,0
0,11,X-a1:X-a0,0,0,0,0,0,0,0
0,11,X-a1:X-a1,0,0,0,0,0,0,0
0,10,X-a0:X-a0,81,0,0,81,0,0,2800
0,10,X-a0:X-a1,0,0,0,0,0,0,0
0,10,X-a1:X-a0,0,0,0,0,0,0,0
0,10,X-a1:X-a1,0,0,0,0,0,0,0
0,9,X-a0:X-a0,88,0,0,88,0,0,3000
0,9,X-a0:X-a1,0,0,0,0,0,0,0
0,9,X-a1:X-a0,0,0,0,0,0,0,0
0,9,X-a1:X-a1,0,0,0,0,0,0,0
0,8,X-a0:X-a0,87,0,0,87,0,0,2600
0,8,X-a0:X-a1,0,0,0,0,0,0,0
0,8,X-a1:X-a0,0,0,0,0,0,0,0
0,8,X-a1:X-a1,0,0,0,0,0,0,0
0,7,X-a0:X-a0,88,0,0,88,0,0,3100
0,7,X-a0:X-a1,0,0,0,0,0,0,0
0,7,X-a1:X-a0,0,0,0,0,0,0,0
0,7,X-a1:X-a1,0,0,0,0,0,0,0
0,6,X-a0:X-a0,87,0,0,87,0,0,2600
0,6,X-a0:X-a1,0,0,0,0,0,0,0
0,6,X-a1:X-a0,0,0,0,0,0,0,0
0,6,X-a1:X-a1,0,0,0,0,0,0,0
0,5,X-a0:X-a0,88,0,0,88,0,0,2900
0,5,X-a0:X-a1,0,0,0,0,0,0,0
0,5,X-a1:X-a0,0,0,0,0,0,0,0
0,5,X-a1:X-a1,0,0,0,0,0,0,0
0,4,X-a0:X-a0,84,0,0,84,0,0,2900
0,4,X-a0:X-a1,0,0,0,0,0,0,0
0,4,X-a1:X-a0,0,0,0,0,0,0,0
0,4,X-a1:X-a1,0,0,0,0,0,0,0
0,3,X-a0:X-a0,90,0,0,90,0,0,3000
0,3,X-a0:X-a1,0,0,0,0,0,0,0
0,3,X-a1:X-a0,0,0,0,0,0,0,0
0,3,X-a1:X-a1,0,0,0,0,0,0,0
0,2,X-a0:X-a0,85,0,0,85,0,0,2600
0,2,X-a0:X-a1,0,0,0,0,0,0,0
0,2,X-a1:X-a0,0,0,0,0,0,0,0
0,2,X-a1:X-a1,0,0,0,0,0,0,0
0,1,X-a0:X-a0,87,0,0,87,0,0,3500
0,1,X-a0:X-a1,0,0,0,0,0,0,0
0,1,X-a1:X-a0,0,0,0,0,0,0,0
0,1,X-a1:X-a1,0,0,0,0,0,0,0
1,26,X-a0:X-a0,0,0,0,0,0,0,0
1,26,X-a0:X-a1,0,0,0,0,0,0,0
1,26,X-a1:X-a0,0,0,0,0,0,0,0
1,26,X-a1:X-a1,0,0,0,0,0,0,0
1,25,X-a0:X-a0,81,0,0,81,0,2664,2200
1,25,X-a0:X-a1,0,0,0,0,0,0,0
1,25,X-a1:X-a0,0,0,0,0,0,0,0
1,25,X-a1:X-a1,0,0,0,0,0,0,0
1,24,X-a0:X-a0,66,0,0,66,0,2698,1900
1,24,X-a0:X-a1,0,0,0,0,0,0,0
1,24,X-a1:X-a0,0,0,0,0,0,0,0
1,24,X-a1:X-a1,0,0,0,0,0,0,0
1,23,X-a0:X-a0,73,0,0,73,0,2685,3500
1,23,X-a0:X-a1,0,0,0,0,0,0,0
1,23,X-a1:X-a0,0,0,0,0,0,0,0
1,23,X-a1:X-a1,0,0,0,0,0,0,0
1,22,X-a0:X-a0,73,0,0,73,0,2690,2800
1,22,X-a0:X-a1,0,0,0,0,0,0,0
1,22,X-a1:X-a0,0,0,0,0,0,0,0
1,22,X-a1:X-a1,0,0,0,0,0,0,0
1,21,X-a0:X-a0,76,0,0,76,0,2500,3000
1,21,X-a0:X-a1,0,0,0,0,0,0,0
1,21,X-a1:X-a0,0,0,0,0,0,0,0
1,21,X-a1:X-a1,0,0,0,0,0,0,0
1,20,X-a0:X-a0,69,0,0,69,0,2687,2000
1,20,X-a0:X-a1,0,0,0,0,0,0,0
1,20,X-a1:X-a0,0,0,0,0,0,0,0
1,20,X-a1:X-a1,0,0,0,0,0,0,0
1,19,X-a0:X-a0,65,0,0,65,0,2675,2200
1,19,X-a0:X-a1,0,0,0,0,0,0,0
1,19,X-a1:X-a0,0,0,0,0,0,0,0
1,19,X-a1:X-a1,0,0,0,0,0,0,0
1,18,X-a0:X-a0,80,0,0,80,0,2699,2900
1,18,X-a0:X-a1,0,0,0,0,0,0,0
1,18,X-a1:X-a0,0,0,0,0,0,0,0
1,18,X-a1:X-a1,0,0,0,0,0,0,0
1,17,X-a0:X-a0,75,0,0,75,0,2684,2600
1,17,X-a0:X-a1,0,0,0,0,0,0,0
1,17,X-a1:X-a0,0,0,0,0,0,0,0
1,17,X-a1:X-a1,0,0,0,0,0,0,0
1,16,X-a0:X-a0,86,0,0,86,0,2200,2900
1,16,X-a0:X-a1,0,0,0,0,0,0,0
1,16,X-a1:X-a0,0,0,0,0,0,0,0
1,16,X-a1:X-a1,0,0,0,0,0,0,0
1,15,X-a0:X-a0,81,0,0,81,0,2695,3400
1,15,X-a0:X-a1,0,0,0,0,0,0,0
1,15,X-a1:X-a0,0,0,0,0,0,0,0
1,15,X-a1:X-a1,0,0,0,0,0,0,0
