Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,25,1,90,0,0,90,88,0,0,6000,3000,25,0,3,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,180,0,0,180,179,0,0,11200,5600,46,0,5,0,0,0,20,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,21,0,358,0,0,358,366,0,0,26600,13300,0,0,0,0,0,0,42,0,0,27514.2,1492.5,3057.13,1,1,1,0,0,0
0,19,10,85,0,0,85,92,0,0,6200,3100,24,0,5,0,0,0,15,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,184,0,0,184,179,0,0,12600,6300,49,0,11,0,0,0,16,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,15,5,90,0,0,90,83,0,0,5000,2500,20,0,5,0,0,0,10,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,13,10,91,0,0,91,90,0,0,5600,2800,23,0,5,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,11,10,181,0,0,181,183,0,0,13600,6800,56,0,8,0,0,0,19,0,0,13757.1,746.25,1528.57,1,1,1,0,0,0
0,9,10,91,0,0,91,87,0,0,5800,2900,23,0,4,0,0,0,9,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,7,0,89,0,0,89,96,0,0,5600,2800,0,0,0,0,0,0,11,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
