Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NumLookingToFeed,NumFedCount,NumGestatingBegin,NumGestatingEnd,NumAttemptFeedIndoor,NumAttemptFeedOutdoor,NumAttemptButNotFeed,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,NumGestatingOnDay_0,NumGestatingOnDay_1,NumGestatingOnDay_2,NumGestatingOnDay_3,NumGestatingOnDay_4,NumGestatingOnDay_5,NumGestatingOnDay_6,NumGestatingOnDay_7,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20753.3,1,0,0,0
1,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29337.3,1,0,0,0
2,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36911.8,1,0,0,0
3,340461476,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43595.3,1,0,0,0
4,340461476,1000,0,0,0,0,9094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49492.7,1,0,0,0
5,340461476,1000,3971,1927,0,2044,8256,0,0,905200,4526,3971,0,3971,4526,0,0,452600,4526,1116,0,0,5000,0,474,555,0,0,0,3971,0,0,0,0,0,54696.5,1,1116,1117,-1
6,340461476,1000,3568,1725,0,1843,7459,0,54930,0,0,0,3568,3568,0,0,0,0,0,0,0,0,0,0,403,0,0,0,3568,0,0,0,0,0,0,4358.29,0.0604248,0,0,0
7,340461476,1000,3244,1562,0,1682,6743,0,49679,0,0,0,3244,3244,0,0,0,0,0,0,0,0,0,0,324,0,0,3244,0,0,0,0,0,0,0,13661,1,0,0,0
8,340461476,1000,2552,1190,0,1362,6113,0,44925,582600,2913,2552,0,2552,2913,0,0,291300,2913,691,0,0,0,0,331,361,0,0,0,2552,0,0,0,0,0,21990.1,1,691,695,-4
9,340461476,1000,2311,1071,0,1240,5556,0,62665,0,0,0,2311,2311,0,0,0,0,0,0,0,0,0,0,241,0,0,0,2311,0,0,0,0,0,0,7404.73,0.0377448,0,0,0
10,340461476,1000,2114,983,0,1131,5050,0,56771,0,0,0,2114,2114,0,0,0,0,0,0,0,0,0,0,197,0,0,2114,0,0,0,0,0,0,0,16082.3,1,0,0,0
11,340461476,1000,1688,761,0,927,4557,0,51295,390600,1953,1688,0,1688,1953,0,0,195300,1953,463,0,0,0,0,161,265,0,0,0,1688,0,0,0,0,0,24014.5,1,463,434,29
12,340461476,1000,1536,683,0,853,4118,0,70578,0,0,0,1536,1536,0,0,0,0,0,0,0,0,0,0,152,0,0,0,1536,0,0,0,0,0,0,6898.83,0.0614811,0,0,0
