Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
0,26,0,913,0,0,913,882,0,0,65400,32700,0,0,0,0,0,0,87,0,0,0,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,25,1,89,0,0,89,88,0,0,6600,3300,29,0,1,0,0,0,11,0,0,10,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,24,10,83,0,0,83,89,0,0,5800,2900,25,0,3,0,0,0,17,0,0,19,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,23,15,182,0,0,182,176,0,0,13600,6800,54,0,10,0,0,0,18,0,0,32,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,22,0,358,0,0,358,360,0,0,25400,12700,0,0,0,0,0,0,42,0,0,67,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,21,0,354,0,0,354,358,0,0,23800,11900,0,0,0,0,0,0,46,0,0,38,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,20,10,91,0,0,91,86,0,0,5800,2900,24,0,3,0,0,0,9,0,0,27,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,19,10,87,0,0,87,86,0,0,6000,3000,26,0,4,0,0,0,13,0,0,22,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,18,10,95,0,0,95,89,0,0,6000,3000,21,0,8,0,0,0,5,0,0,33,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,17,5,188,0,0,188,178,0,0,11400,5700,43,0,8,0,0,0,12,0,0,50,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,16,0,364,0,0,364,367,0,0,24400,12200,0,0,0,0,0,0,36,0,0,58,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,15,5,88,0,0,88,86,0,0,6400,3200,26,0,6,0,0,0,12,0,0,14,0,2751.42,149.25,305.713,1,1,1,0,0,0
0,14,0,94,0,0,94,89,0,0,5600,2800,0,0,0,0,0,0,6,0,0,25,0,2751.42,149.25,305.713,1,1,1,0,0,0
