Year, NodeId, Gender, HasHIV, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative, HasIntervention(Vaccine48),Vaccinated
1960.5,1,0,0,0,302,0,0,0,22,0,0,0,0,0,0,0,0
1960.5,1,0,0,1,282,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,2,272,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,3,295,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,4,268,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,5,261,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,6,195,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,7,240,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,8,233,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,9,249,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,10,202,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,11,180,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,12,198,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,13,200,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,14,178,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,15,189,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,16,168,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,17,163,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,18,152,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,19,162,0,0,0,2,0,0,0,0,0,0,0,0
1960.5,1,0,0,20,160,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,21,151,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,22,138,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,23,163,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,24,142,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,25,143,0,0,0,1,0,0,0,0,0,0,0,0
1960.5,1,0,0,26,107,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,27,144,0,0,0,0,0,0,0,0,0,0,0,0
1960.5,1,0,0,28,121,0,0,0,0,0,0,0,0,0,0,0,0
